Name,Park Code,Region
ACADIA    ,ACAD,NER
ARCHES    ,ARCH,IMR
BADLANDS    ,BADL,MWR
BIG BEND    ,BIBE,IMR
BISCAYNE    ,BISC,SER
BLACK CANYON OF THE GUNNISON    ,BLCA,IMR
BRYCE CANYON    ,BRCA,IMR
CANYONLANDS    ,CANY,IMR
CAPITOL REEF    ,CARE,IMR
CARLSBAD CAVERNS    ,CAVE,IMR
CHANNEL ISLANDS    ,CHIS,PWR
CONGAREE      ,CONG,SER
CRATER LAKE    ,CRLA,PWR
CUYAHOGA VALLEY     ,CUVA,MWR
DEATH VALLEY    ,DEVA,PWR
DENALI     ,DENA,AKR
DRY TORTUGAS     ,DRTO,SER
EVERGLADES     ,EVER,SER
GATES OF THE ARCTIC    ,GAAR,AKR
GLACIER    ,GLAC,IMR
GLACIER BAY    ,GLBA,AKR
GRAND CANYON    ,GRCA,IMR
GRAND TETON    ,GRTE,IMR
GREAT BASIN    ,GRBA,PWR
GREAT SAND DUNES    ,GRSA,IMR
GREAT SMOKY MOUNTAINS     ,GRSM,SER
GUADALUPE MOUNTAINS    ,GUMO,IMR
HALEAKALA    ,HALE,PWR
HAWAII VOLCANOES    ,HAVO,PWR
HOT SPRINGS     ,HOSP,MWR
ISLE ROYALE     ,ISRO,MWR
JOSHUA TREE    ,JOTR,PWR
KATMAI     ,KATM,AKR
KENAI  FJORDS     ,KEFJ,AKR
KINGS CANYON    ,SEKI,PWR
KOBUK VALLEY    ,KOVA,AKR
LAKE CLARK     ,LACL,AKR
LASSEN VOLCANIC    ,LAVO,PWR
MAMMOTH CAVE     ,MACA,SER
MESA VERDE    ,MEVE,IMR
MOUNT RAINIER    ,MORA,PWR
NATIONAL PARK  OF AMERICAN SAMOA,NPSA,PWR
NORTH CASCADES    ,NOCA,PWR
OLYMPIC    ,OLYM,PWR
PETRIFIED FOREST    ,PEFO,IMR
PINNACLES    ,PINN,PWR
REDWOOD,REDW,PWR
ROCKY MOUNTAIN    ,ROMO,IMR
SAGUARO    ,SAGU,IMR
SEQUOIA    ,SEKI,PWR
SHENANDOAH  ,SHEN,NER
THEODORE ROOSEVELT     ,THRO,MWR
VIRGIN ISLANDS     ,VIIS,SER
VOYAGEURS     ,VOYA,MWR
WIND CAVE     ,WICA,MWR
WRANGELL-ST. ELIAS     ,WRST,AKR
YELLOWSTONE    ,YELL,IMR
YOSEMITE    ,YOSE,PWR
ZION    ,ZION,IMR
MOJAVE    ,MOJA,PWR
